First Name,Gender,Start Date,Salary,Mgmt,Team
Douglas,Male,8/6/93,,True,Marketing
Thomas,Male,3/31/96,61933,True,
Maria,Female,,130590,False,Finance
Jerry,,3/4/05,138705,True,Finance
Larry,Male,1/24/98,101004,True,IT
Dennis,Male,4/18/87,115163,False,Legal
Ruby,Female,8/17/87,65476,True,Product
,Female,7/20/15,45906,,Finance
Angela,Female,11/22/05,95570,True,Engineering
Frances,Female,8/8/02,139852,True,Business Dev
Louise,Female,8/12/80,63241,True,
Julie,Female,10/26/97,102508,True,Legal
Brandon,Male,12/1/80,112807,True,HR
Gary,Male,1/27/08,109831,False,Sales
Kimberly,Female,1/14/99,41426,True,Finance
Lillian,Female,6/5/16,59414,False,Product
Jeremy,Male,9/21/10,90370,False,HR
Shawn,Male,12/7/86,111737,False,Product
Diana,Female,10/23/81,132940,False,IT
Donna,Female,7/22/10,81014,False,Product
Lois,,4/22/95,64714,True,Legal
Matthew,Male,9/5/95,100612,False,Marketing
Joshua,,3/8/12,90816,True,IT
,Male,6/14/12,125792,,
John,Male,7/1/92,97950,False,IT
,Male,10/8/12,37076,,IT
Craig,Male,2/27/00,37598,True,Marketing
Scott,,7/11/91,122367,False,Legal
Terry,Male,11/27/81,124008,True,IT
Benjamin,Male,1/26/05,79529,True,Legal
Christina,Female,8/6/02,118780,True,Engineering
Joyce,,2/20/05,88657,False,Product
,Male,8/21/98,122340,,
Jean,Female,12/18/93,119082,False,Business Dev
Jerry,Male,1/10/04,95734,False,IT
Theresa,Female,10/10/06,85182,False,Sales
Rachel,Female,2/16/09,142032,False,Business Dev
Linda,Female,10/19/81,57427,True,IT
Stephanie,Female,9/13/86,36844,True,Business Dev
,Male,1/29/16,122173,,IT
Michael,Male,10/10/08,99283,True,Distribution
Christine,,6/28/15,66582,True,Business Dev
Beverly,Female,9/9/98,121918,False,Legal
Marilyn,Female,12/7/80,73524,True,Marketing
Cynthia,Female,11/16/88,145146,True,Product
Roger,Male,4/17/80,88010,True,Sales
Bruce,Male,11/28/09,114796,False,Finance
Kathy,Female,6/22/05,66820,True,IT
Clarence,Male,3/26/96,93581,True,Business Dev
Chris,,1/24/80,113590,False,Sales
Nancy,Female,9/23/00,94976,True,Engineering
,,12/17/11,41126,,Sales
Todd,Male,2/18/90,49339,True,HR
Alan,,3/3/14,40341,True,Finance
Sara,Female,8/15/07,83677,False,Engineering
Karen,Female,11/30/99,102488,True,Product
Carl,Male,5/3/06,130276,True,Finance
Henry,Male,6/26/96,64715,True,HR
Theresa,Female,4/11/10,72670,True,Engineering
Irene,Female,5/7/97,66851,False,Engineering
Paula,,11/23/05,48866,False,Distribution
Denise,Female,11/6/01,106862,False,Business Dev
,Female,6/12/07,58112,,Marketing
Matthew,Male,1/2/13,35203,False,HR
Kathleen,,4/11/90,77834,False,Business Dev
Steve,Male,11/11/09,61310,True,Distribution
Nancy,Female,12/15/12,125250,True,Business Dev
Rachel,Female,8/16/99,51178,True,Finance
Jose,Male,10/30/04,84834,True,Finance
Irene,,7/14/15,100863,True,Finance
Todd,,6/10/03,84692,False,IT
Johnny,Male,11/6/09,118172,True,Sales
Bobby,Male,5/7/07,54043,False,Product
Frances,Female,4/4/99,90582,True,Sales
Thomas,Male,6/4/95,62096,False,Marketing
Bonnie,Female,7/2/91,104897,True,HR
Margaret,Female,9/10/88,131604,True,Distribution
Charles,Male,9/14/04,107391,True,Marketing
Robin,Female,6/4/83,114797,True,Sales
Bonnie,Female,11/13/88,115814,False,Product
Gerald,,3/17/95,137126,True,Sales
Christopher,Male,3/30/08,47369,False,Legal
Steven,Male,3/30/80,35095,True,IT
Shawn,Male,9/23/05,148115,True,Finance
Doris,Female,8/20/04,83072,False,Finance
Jeremy,Male,2/1/08,100238,True,IT
Annie,,9/29/07,103495,True,Business Dev
Annie,Female,1/30/93,144887,True,Sales
Donna,Female,11/27/91,64088,True,Legal
Janice,Female,3/12/16,51082,False,Legal
Janice,,8/21/97,91719,True,Legal
James,,1/26/05,128771,False,
Linda,Female,5/25/00,119009,True,Business Dev
Virginia,,5/7/94,111858,True,Legal
Harry,Male,8/26/81,130620,False,Legal
